week,time,Singapore People's Party,Singaporeans First,Singapore Democratic Party,Singapore Democratic Alliance,Reform Party,People's Party Power,National Solidarity Party,Worker's Party,People's Action Party
1,7/24/2015,4,4,4,4,4,4,3,1,2
2,7/25/2015,5,5,4,5,5,5,3,1,2
3,7/26/2015,6,4,3,6,6,6,5,1,2
4,7/27/2015,6,3,4,6,6,6,5,1,2
5,7/28/2015,7,3,4,6,7,7,5,1,2
6,7/29/2015,5,3,4,6,8,8,7,1,2
7,7/30/2015,4,6,5,3,8,8,7,2,1
8,7/31/2015,5,4,6,3,8,8,7,2,1
9,8/1/2015,5,3,6,4,8,8,7,1,2
10,8/2/2015,5,3,4,7,8,8,6,1,2
11,8/3/2015,7,5,3,6,7,7,4,1,2
12,8/4/2015,7,4,6,5,7,7,1,3,2
13,8/5/2015,7,4,6,5,7,7,3,1,2
14,8/6/2015,7,3,4,6,7,7,5,1,2
15,8/7/2015,7,2,6,5,7,7,4,1,3
16,8/8/2015,7,4,5,6,7,7,3,1,2
17,8/9/2015,7,6,5,4,7,7,3,1,2
18,8/10/2015,7,2,6,4,8,8,3,1,5
19,8/11/2015,7,3,5,4,8,8,6,1,2
20,8/12/2015,7,3,6,4,8,8,5,1,2
21,8/13/2015,6,3,4,5,8,8,7,2,1
22,8/14/2015,7,3,5,6,8,8,4,1,2
23,8/15/2015,7,3,4,6,8,8,5,1,2
24,8/16/2015,7,4,3,6,8,8,5,1,2
25,8/17/2015,7,3,5,6,7,7,4,1,2
26,8/18/2015,7,6,4,5,7,7,3,1,2
27,8/19/2015,7,5,4,6,7,7,3,1,2
28,8/20/2015,7,4,6,5,7,7,3,1,2
29,8/21/2015,7,6,5,3,7,7,4,2,1
30,8/22/2015,7,6,5,4,7,7,3,1,2
31,8/23/2015,7,5,6,4,8,8,3,1,2
32,8/24/2015,7,6,4,5,8,8,3,1,2
33,8/25/2015,7,4,3,6,8,8,5,1,2
34,8/26/2015,7,4,3,6,8,8,5,1,2
35,8/27/2015,6,3,4,7,8,8,5,1,2
36,8/28/2015,5,3,4,7,8,8,6,1,2
37,8/29/2015,7,3,4,6,8,8,5,1,2
38,8/30/2015,7,3,4,6,8,8,5,1,2
39,8/31/2015,7,3,4,5,8,8,6,1,2
40,9/1/2015,7,3,4,6,8,8,5,1,2
41,9/2/2015,7,3,4,6,8,8,5,1,2
42,9/3/2015,7,3,4,5,8,8,6,1,2
43,9/4/2015,7,4,3,5,8,8,6,1,2
44,9/5/2015,7,4,3,6,8,8,5,1,2
45,9/6/2015,7,4,3,5,8,8,6,1,2